('-slick-', 'TAG', {'weight': 1}),
('-slick-', 'delemach', {'weight': 1}),
('0z', 'd000hg', {'weight': 1}),
('0z', 'duner', {'weight': 1}),
('0z', 'ivern_admin', {'weight': 1}),
('0z', 'kurtrips', {'weight': 1}),
('0z', 'marijnk', {'weight': 1}),
('0z', 'real_vg', {'weight': 1}),
('0z', 'sb99', {'weight': 1}),
('0z', 'sql_lall', {'weight': 1}),
('187guru', 'alegro', {'weight': 1}),
('571555', 'Kuhan', {'weight': 1}),
('571555', 'Sky_', {'weight': 1}),
('571555', 'albertwang', {'weight': 1}),
('571555', 'callmekatootie', {'weight': 1}),
('571555', 'hi4sandy', {'weight': 1}),
('571555', 'soso0574', {'weight': 1}),
('571555', 'zaixiang', {'weight': 1}),
('7realm', 'AleaActaEst', {'weight': 3}),
('7realm', 'BeBetter', {'weight': 1}),
('7realm', 'Beijing2008', {'weight': 1}),
('7realm', 'DixonD', {'weight': 2}),
('7realm', 'FireIce', {'weight': 2}),
('7realm', 'KickDream', {'weight': 2}),
('7realm', 'LOY', {'weight': 1}),
('7realm', 'Luca', {'weight': 1}),
('7realm', 'MiG-29', {'weight': 1}),
('7realm', 'Pops', {'weight': 1}),
('7realm', 'QASH', {'weight': 1}),
('7realm', 'TAG', {'weight': 2}),
('7realm', 'VolodymyrK', {'weight': 6}),
('7realm', 'akinwale', {'weight': 5}),
('7realm', 'am_i_neh', {'weight': 1}),
('7realm', 'bchops', {'weight': 1}),
('7realm', 'chuchao333', {'weight': 2}),
('7realm', 'clocy', {'weight': 3}),
('7realm', 'cyberjag', {'weight': 2}),
('7realm', 'dingying131', {'weight': 1}),
('7realm', 'duner', {'weight': 4}),
('7realm', 'flying2hk', {'weight': 2}),
('7realm', 'gets0ul', {'weight': 1}),
('7realm', 'hotblue', {'weight': 1}),
('7realm', 'iKnown', {'weight': 1}),
('7realm', 'isugarly', {'weight': 2}),
('7realm', 'ivern_admin', {'weight': 6}),
('7realm', 'j3_guile', {'weight': 1}),
('7realm', 'jaindsonvs', {'weight': 1}),
('7realm', 'jhughes', {'weight': 1}),
('7realm', 'kr00tki', {'weight': 1}),
('7realm', 'lijianzhong', {'weight': 1}),
('7realm', 'live_world', {'weight': 1}),
('7realm', 'morehappiness', {'weight': 1}),
('7realm', 'murphydog', {'weight': 1}),
('7realm', 'newstar', {'weight': 1}),
('7realm', 'nowind_lee', {'weight': 3}),
('7realm', 'orial', {'weight': 1}),
('7realm', 'pinoydream', {'weight': 1}),
('7realm', 'qiucx0161', {'weight': 1}),
('7realm', 'rolian', {'weight': 2}),
('7realm', 'romanoTC', {'weight': 3}),
('7realm', 'saarixx', {'weight': 1}),
('7realm', 'shen75', {'weight': 1}),
('7realm', 'sitebricks', {'weight': 1}),
('7realm', 'urtks', {'weight': 1}),
('7realm', 'vilain', {'weight': 1}),
('7realm', 'xiaomuzi', {'weight': 1}),
('7realm', 'zaixiang', {'weight': 1}),
('7realm', 'zhongqiangzhang', {'weight': 1}),
('7realm', 'zju_jay', {'weight': 1}),
('7realm', 'zsudraco', {'weight': 1}),
('80x86', 'AdamSelene', {'weight': 1}),
('80x86', 'LittleBlack', {'weight': 1}),
('80x86', 'bbxiong', {'weight': 1}),
('80x86', 'd000hg', {'weight': 1}),
('80x86', 'kaqi072821', {'weight': 1}),
('80x86', 'liuliquan', {'weight': 1}),
('80x86', 'sb99', {'weight': 1}),
('80x86', 'will.xie', {'weight': 1}),
('AE-86', 'AleaActaEst', {'weight': 1}),
('AE-86', 'VolodymyrK', {'weight': 1}),
('AE-86', 'besabestin', {'weight': 1}),
('AE-86', 'hamdanil', {'weight': 1}),
('AK_47', 'AleaActaEst', {'weight': 2}),
('AK_47', 'BeBetter', {'weight': 3}),
('AK_47', 'FireIce', {'weight': 1}),
('AK_47', 'Ghostar', {'weight': 1}),
('AK_47', 'LimoWanKenobi', {'weight': 1}),
('AK_47', 'Orange_Cloud', {'weight': 6}),
('AK_47', 'TonyJ', {'weight': 1}),
('AK_47', 'Wendell', {'weight': 1}),
('AK_47', 'caru', {'weight': 1}),
('AK_47', 'cyberjag', {'weight': 4}),
('AK_47', 'd000hg', {'weight': 3}),
('AK_47', 'daiwb', {'weight': 1}),
('AK_47', 'dmks', {'weight': 1}),
('AK_47', 'duner', {'weight': 1}),
('AK_47', 'elkhawajah', {'weight': 1}),
('AK_47', 'enefem21', {'weight': 1}),
('AK_47', 'fabrizyo', {'weight': 1}),
('AK_47', 'fvillaf', {'weight': 1}),
('AK_47', 'gniuxiao', {'weight': 1}),
('AK_47', 'humblefool', {'weight': 1}),
('AK_47', 'isv', {'weight': 1}),
('AK_47', 'ivern_admin', {'weight': 3}),
('AK_47', 'jorsef', {'weight': 1}),
('AK_47', 'kakarotto', {'weight': 1}),
('AK_47', 'kurtrips', {'weight': 1}),
('AK_47', 'kyky', {'weight': 1}),
('AK_47', 'mayday', {'weight': 1}),
('AK_47', 'mike', {'weight': 1}),
('AK_47', 'mohamede1945', {'weight': 1}),
('AK_47', 'moon.river', {'weight': 1}),
('AK_47', 'mpaulse', {'weight': 1}),
('AK_47', 'prunthaban', {'weight': 2}),
('AK_47', 'pulky', {'weight': 1}),
('AK_47', 'retunsky', {'weight': 2}),
('AK_47', 'romanoTC', {'weight': 1}),
('AK_47', 'vikasrohit', {'weight': 3}),
('AK_47', 'vilain', {'weight': 1}),
('AK_47', 'woodjhon', {'weight': 1}),
('AK_47', 'ziliang', {'weight': 1}),
('ANASS', 'Rkt119', {'weight': 1}),
